id,sex,mrg,age,weight
1,1,1,18,40
2,2,2,23,50
3,1,2,23,56
4,2,2,20,51
5,1,1,22,55
6,1,1,24,61
7,2,2,21,70
8,2,2,60,44
9,2,1,25,66
10,1,2,20,60
11,2,1,55,56
12,2,2,30,72
13,2,2,18,46
14,1,2,22,63
15,1,2,30,56
16,1,2,34,52
17,2,2,55,48
18,1,1,18,57
19,2,1,37,52
20,2,1,38,45
21,2,1,28,57
22,1,2,22,55
23,2,1,20,67
24,2,2,44,52
25,1,1,26,55
26,2,2,18,62
27,1,2,18,67
28,2,2,36,49
29,1,2,21,49
30,2,1,21,52
31,2,1,21,56
32,2,1,22,48
33,1,1,27,50
34,2,1,50,68
35,1,1,46,53
36,1,2,24,58
37,1,2,35,62
38,2,1,18,57
39,2,2,29,68
40,1,1,36,54
41,1,2,22,62
42,1,1,45,59
43,1,1,18,71
44,2,1,19,58
45,1,1,29,41
46,2,2,26,58
47,1,2,42,48
48,1,2,28,69
49,2,2,44,53
50,1,2,29,57
51,1,2,35,60
52,1,1,21,59
53,1,1,38,53
54,2,2,50,47
55,1,1,17,62
56,1,2,17,56
57,2,1,50,59
58,2,1,43,50
59,1,1,31,61
60,1,2,24,64
61,1,2,17,90
62,2,1,32,120
