no,성별,결혼,학력,연령,도구,보상,정보,디자인,공동체,몰입,충성도
1,1,2,3,18,2,7,6,12,12,8,6
2,2,2,2,22,2,8,3,11,6,4,4
3,2,2,2,26,2,8,7,14,18,12,9
4,1,2,4,34,2,8,7,18,15,4,7
5,1,2,4,28,2,9,8,16,23,14,11
6,1,2,2,26,2,9,9,24,24,16,12
7,1,2,1,30,2,10,8,12,17,11,8
8,2,1,2,25,2,10,8,19,21,12,10
9,2,2,3,21,2,12,3,10,6,4,3
10,1,1,3,31,3,5,8,23,18,9,9
11,1,1,4,25,3,8,6,12,20,12,8
12,1,2,2,30,3,10,8,16,9,10,7
13,2,2,4,23,4,4,6,19,14,6,8
14,1,2,1,32,4,4,7,14,10,4,4
15,2,2,3,25,4,5,6,16,19,14,10
16,2,2,2,20,4,5,7,15,14,11,8
17,1,2,4,21,4,6,10,19,16,10,9
18,1,2,4,26,4,7,6,15,22,12,9
19,1,2,4,36,4,7,8,16,14,11,9
20,1,2,1,13,4,7,9,23,24,16,12
21,2,2,4,15,4,7,12,24,20,13,10
22,1,2,2,17,4,8,6,12,18,8,5
23,2,2,4,20,4,8,6,15,19,12,9
24,2,1,3,38,4,8,7,12,12,8,6
25,2,2,3,26,4,9,8,14,16,10,9
26,1,2,1,20,4,9,8,19,15,14,12
27,2,1,4,48,4,9,9,18,21,14,11
28,2,1,3,30,4,9,9,22,18,12,9
29,1,2,4,28,4,10,7,19,15,10,10
30,2,2,1,21,4,10,9,16,18,12,9
31,2,2,2,21,4,10,9,19,15,11,9
32,1,1,2,35,4,10,9,19,18,13,9
33,2,2,3,29,4,10,12,22,15,14,11
34,1,2,4,32,4,11,6,19,17,7,6
35,2,2,3,24,4,11,6,24,17,14,11
36,1,1,2,36,4,11,9,14,17,12,9
37,1,2,4,30,4,11,9,18,17,13,10
38,1,1,1,30,4,11,9,19,18,12,10
39,1,2,4,30,4,12,7,18,18,11,9
40,2,2,1,21,4,12,7,20,22,14,12
41,2,2,4,29,4,12,9,18,13,10,9
