id,시간1,점수1,시간2,점수2,시간3,점수3
1,1,63,1,63,1,63
2,1,60,1,60,1,60
3,1,61,1,61,1,61
4,1,57,1,57,1,57
5,1,58,1,58,1,58
6,1,58,1,58,1,58
7,1,53,1,53,1,53
8,1,58,1,58,1,58
9,1,58,1,58,1,58
10,1,57,1,57,1,57
11,1,60,1,60,1,60
12,1,57,1,57,1,57
13,1,65,1,65,1,65
14,1,65,1,65,1,65
15,1,63,1,63,1,63
16,1,59,1,59,1,59
17,1,55,1,55,1,55
18,1,61,1,61,1,61
19,1,61,1,61,1,61
20,1,57,1,57,1,57
21,1,59,1,59,1,59
22,1,60,1,60,1,60
23,1,60,1,60,1,60
24,1,62,1,62,1,62
25,1,64,1,64,1,64
26,1,58,1,58,1,58
27,1,59,1,59,1,59
28,1,57,1,57,1,57
29,1,59,1,59,1,59
30,1,62,1,62,1,62
31,1,60,1,60,1,60
32,1,65,1,65,1,65
33,1,63,1,63,1,63
34,1,56,1,56,1,56
35,1,57,1,57,1,57
36,1,60,1,60,1,60
37,1,67,1,67,1,67
38,1,65,1,65,1,65
39,1,64,1,64,1,64
40,1,66,1,66,1,66
41,1,64,1,64,1,64
42,1,61,1,61,1,61
43,1,56,1,56,1,56
44,1,59,1,59,1,59
45,1,60,1,60,1,60
1,2,63,2,63,2,63
2,2,60,2,60,2,60
3,2,61,2,61,2,61
4,2,57,2,57,2,57
5,2,58,2,58,2,58
6,2,58,2,58,2,58
7,2,53,2,53,2,53
8,2,58,2,58,2,58
9,2,58,2,58,2,58
10,2,57,2,57,2,57
11,2,59,2,59,2,59
12,2,64,2,64,2,64
13,2,66,2,66,2,66
14,2,66,2,66,2,66
15,2,65,2,65,2,65
16,2,58,2,58,2,58
17,2,59,2,59,2,59
18,2,64,2,64,2,64
19,2,61,2,61,2,61
20,2,57,2,57,2,57
21,2,65,2,65,2,65
22,2,58,2,58,2,58
23,2,63,2,63,2,63
24,2,61,2,61,2,61
25,2,63,2,63,2,63
26,2,62,2,62,2,62
27,2,66,2,66,2,66
28,2,58,2,58,2,58
29,2,57,2,57,2,57
30,2,63,2,63,2,63
31,2,59,2,59,2,59
32,2,63,2,63,2,63
33,2,58,2,58,2,58
34,2,57,2,57,2,57
35,2,57,2,57,2,57
36,2,60,2,60,2,60
37,2,68,2,68,2,68
38,2,66,2,66,2,66
39,2,70,2,70,2,70
40,2,66,2,66,2,66
41,2,66,2,66,2,66
42,2,57,2,57,2,57
43,2,59,2,59,2,59
44,2,57,2,57,2,57
45,2,62,2,62,2,62
1,3,63,3,68,3,50
2,3,60,3,67,3,50
3,3,61,3,70,3,50
4,3,57,3,68,3,68
5,3,58,3,68,3,68
6,3,58,3,68,3,68
7,3,53,3,67,3,67
8,3,58,3,66,3,66
9,3,58,3,67,3,67
10,3,57,3,66,3,66
11,3,60,3,67,3,67
12,3,62,3,69,3,69
13,3,65,3,72,3,72
14,3,64,3,71,3,71
15,3,63,3,70,3,70
16,3,60,3,67,3,67
17,3,60,3,67,3,67
18,3,62,3,69,3,69
19,3,59,3,66,3,66
20,3,59,3,66,3,66
21,3,61,3,68,3,68
22,3,62,3,69,3,69
23,3,63,3,70,3,70
24,3,62,3,69,3,69
25,3,63,3,70,3,70
26,3,60,3,67,3,67
27,3,63,3,70,3,70
28,3,58,3,65,3,65
29,3,59,3,66,3,66
30,3,62,3,69,3,69
31,3,62,3,69,3,69
32,3,63,3,70,3,70
33,3,60,3,67,3,67
34,3,58,3,65,3,65
35,3,59,3,66,3,66
36,3,62,3,69,3,69
37,3,66,3,73,3,73
38,3,61,3,68,3,68
39,3,62,3,69,3,69
40,3,64,3,71,3,71
41,3,62,3,69,3,69
42,3,61,3,68,3,68
43,3,60,3,67,3,67
44,3,59,3,66,3,66
45,3,60,3,67,3,67
