id,대출의도,나이,경력,수입,카드사용액,카드보유유무
1,0,25,1,49,1.6,0
2,0,45,19,34,1.5,0
3,0,39,15,11,1,0
4,0,35,9,100,2.7,0
5,0,35,8,45,1,1
6,0,37,13,29,0.4,0
7,0,53,27,72,1.5,0
8,0,50,24,22,0.3,1
9,0,35,10,81,0.6,0
10,1,34,9,180,8.9,0
11,0,65,39,105,2.4,0
12,0,29,5,45,0.1,0
13,0,48,23,114,3.8,0
14,0,59,32,40,2.5,0
15,0,67,41,112,2,0
16,0,60,30,22,1.5,1
17,1,38,14,130,4.7,0
18,0,42,18,81,2.4,0
19,1,46,21,193,8.1,0
20,0,55,28,21,0.5,1
21,0,56,31,25,0.9,0
22,0,57,27,63,2,0
23,0,29,5,62,1.2,0
24,0,44,18,43,0.7,0
25,0,36,11,152,3.9,1
26,0,43,19,29,0.5,0
27,0,40,16,83,0.2,0
28,0,46,20,158,2.4,1
29,0,56,30,48,2.2,1
30,1,38,13,119,3.3,1
31,0,59,35,35,1.2,0
32,0,40,16,29,2,0
33,0,53,28,41,0.6,0
34,0,30,6,18,0.9,0
35,0,31,5,50,1.8,0
36,0,48,24,81,0.7,0
37,0,59,35,121,2.9,1
38,0,51,25,71,1.4,0
39,1,42,18,141,5,0
40,0,38,13,80,0.7,0
41,0,57,32,84,1.6,0
42,0,34,9,60,2.3,0
43,1,32,7,132,1.1,0
44,0,39,15,45,0.7,0
45,0,46,20,104,5.7,1
46,0,57,31,52,2.5,1
47,0,39,14,43,0.7,0
48,1,37,12,194,0.2,1
49,0,56,26,81,4.5,1
50,0,40,16,49,1.8,1
51,0,32,8,8,0.7,0
52,0,61,37,131,2.9,0
53,0,30,6,72,0.1,0
54,1,50,26,190,2.1,0
55,0,29,5,44,0.2,0
56,0,41,17,139,8,0
57,0,55,30,29,0.1,0
58,1,56,31,131,1.2,0
59,0,28,2,93,0.2,0
60,0,31,5,188,4.5,0
61,0,49,24,39,1.7,0
62,0,47,21,125,5.7,0
63,0,42,18,22,1,0
