month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,flight,origin,dest
1,9,813,-9,1014,-5,EV,4691,EWR,DAY
9,4,2031,-9,2225,-34,EV,4085,EWR,OMA
3,8,2248,128,134,111,B6,629,JFK,HOU
7,23,743,0,1106,3,UA,1668,EWR,SFO
3,15,754,-5,916,-20,UA,393,EWR,ORD
2,22,1723,8,1830,5,EV,4373,EWR,DCA
10,23,919,-10,1234,0,AA,1223,EWR,DFW
5,13,1900,40,2029,28,9E,4277,JFK,ORF
9,12,1011,-4,1233,21,US,2067,JFK,CLT
11,5,1947,-8,2111,-35,EV,5038,LGA,BHM
8,1,925,-4,1216,2,B6,795,JFK,AUS
9,10,1512,19,1750,-21,UA,1205,EWR,SFO
2,16,1857,-1,2201,5,UA,1724,EWR,PBI
10,16,1945,-2,2220,-30,B6,201,JFK,FLL
1,26,555,-6,931,10,UA,1030,JFK,LAX
6,7,2154,60,15,61,EV,3812,EWR,SDF
9,8,605,5,837,-13,UA,1115,EWR,TPA
10,11,1920,51,2035,24,UA,1053,EWR,CLE
8,4,1751,-9,1946,-4,MQ,3526,LGA,CMH
12,3,1303,4,1614,0,AA,1256,LGA,MIA
5,8,642,-3,853,0,B6,117,JFK,MSY
5,21,1938,-7,2057,-28,AA,361,LGA,ORD
5,14,1515,0,1744,-22,DL,2181,LGA,MCO
9,19,1121,171,1323,194,9E,3521,JFK,ORD
12,6,657,-3,1056,16,DL,430,JFK,SFO
8,14,810,-5,1044,11,DL,914,LGA,DEN
3,16,1625,112,1847,126,DL,1819,LGA,MSP
9,29,834,-8,1010,-15,EV,4230,EWR,CMH
10,19,1901,1,2040,-15,9E,3330,JFK,ORD
1,25,1723,-6,2111,25,DL,1185,EWR,SLC
8,20,1853,-7,2013,1,US,2160,LGA,BOS
3,17,1742,-3,1922,-7,B6,1185,JFK,RDU
11,7,849,-6,959,-26,EV,5220,LGA,ROC
6,13,NA,NA,NA,NA,MQ,3461,LGA,BNA
8,31,731,-4,925,-25,WN,849,EWR,MSY
6,6,2042,32,2244,28,EV,4536,EWR,CVG
8,31,1623,-2,1923,-5,B6,1117,LGA,TPA
3,12,854,-6,1024,-11,EV,5025,LGA,BTV
5,8,1400,60,1457,47,US,2128,LGA,BOS
3,17,1718,-7,1827,-6,EV,4373,EWR,DCA
12,3,1012,12,1256,-15,UA,1257,LGA,IAH
11,1,945,0,1219,-11,VX,251,JFK,LAS
11,4,2357,-2,428,-9,B6,839,JFK,BQN
11,15,749,-6,920,-15,MQ,3363,JFK,RDU
4,29,939,-6,1049,-31,WN,1720,LGA,MKE
3,24,1900,0,2235,-21,DL,1465,JFK,SFO
3,20,1216,16,1437,-1,DL,1947,LGA,ATL
7,28,2016,96,2314,80,UA,664,EWR,TPA
5,15,1824,14,2055,-19,DL,2370,LGA,PBI
6,22,908,8,1153,-3,DL,120,JFK,LAX
9,13,745,0,1002,-22,9E,3528,LGA,JAX
8,8,1558,68,1908,154,9E,3393,JFK,DCA
11,11,1654,-5,1907,8,DL,1518,EWR,DTW
8,22,2126,105,2330,83,EV,4333,EWR,TUL
4,26,1558,-2,1838,-28,DL,161,JFK,LAS
5,24,1620,55,1808,41,EV,4576,EWR,GRR
9,7,847,-8,944,-41,UA,798,EWR,ORD
4,2,1914,-1,2203,1,DL,1345,JFK,PHX
11,2,2024,5,2346,-9,B6,915,JFK,SFO
11,17,1200,0,1304,-11,US,2179,LGA,DCA
2,3,1654,-6,1806,-34,MQ,4323,JFK,ORF
6,13,814,-6,1053,11,9E,4248,JFK,CHS
4,2,1727,-2,2110,13,UA,512,JFK,SFO
5,26,1742,17,2032,12,AA,1901,JFK,IAH
4,19,1719,63,1947,82,EV,4294,EWR,SAV
10,28,1146,6,1429,-1,UA,1618,EWR,TPA
9,20,1312,12,1523,2,EV,5148,EWR,ATL
4,30,1706,-8,1856,-14,EV,4353,EWR,CHS
9,10,1408,-2,1541,-20,EV,5956,LGA,CLE
10,29,753,-2,949,-11,B6,1273,JFK,CHS
6,13,1710,-10,1823,-26,EV,3853,EWR,BUF
2,8,NA,NA,NA,NA,WN,348,LGA,MDW
1,4,1128,-5,1304,-5,EV,4301,EWR,RDU
1,9,2019,-11,2159,-7,FL,354,LGA,CAK
12,24,738,9,1056,36,B6,461,LGA,PBI
7,20,1456,-4,1628,-24,US,802,EWR,CLT
6,1,1943,-2,2216,-8,DL,245,JFK,PHX
8,12,1508,12,1801,37,UA,1222,EWR,LAS
6,21,1749,14,1930,2,US,449,EWR,CLT
4,18,2116,1,2257,-13,MQ,4584,LGA,CLT
6,20,2040,6,34,4,UA,1071,EWR,BQN
9,27,738,-2,853,-7,MQ,3709,EWR,ORD
11,3,655,-5,923,-28,DL,2285,LGA,MCO
2,16,1723,-2,2036,1,UA,1147,EWR,FLL
1,27,1520,-6,1734,3,EV,4170,EWR,GRR
3,5,2041,8,126,2,UA,1071,EWR,BQN
2,23,620,-5,742,-18,WN,3749,EWR,MDW
9,17,1442,-3,1605,-21,9E,3318,JFK,BUF
12,27,918,18,1313,67,B6,1701,JFK,FLL
3,30,1135,-5,1403,-29,UA,1690,EWR,MCO
12,6,1635,50,1950,45,WN,2806,LGA,HOU
3,12,1542,7,1903,13,AA,763,LGA,DFW
11,28,1419,20,1507,-1,B6,118,JFK,BOS
6,15,1213,23,1455,-15,DL,2215,LGA,FLL
8,3,813,-2,1053,23,DL,914,LGA,DEN
2,1,1436,21,1749,25,B6,377,LGA,FLL
2,21,1138,-2,1504,5,DL,1421,LGA,RSW
4,1,2052,82,2304,93,EV,4663,EWR,CHS
2,8,NA,NA,NA,NA,DL,1485,LGA,MCO
12,23,1240,-5,1603,0,DL,2450,LGA,FLL
10,24,1056,-3,1245,-9,MQ,3281,LGA,CMH
2,13,1410,11,1717,21,UA,523,EWR,PBI
11,9,1633,98,1919,89,MQ,3070,JFK,TPA
4,11,1607,67,1849,124,AA,341,LGA,ORD
6,29,1125,10,1232,-3,WN,1506,LGA,MDW
7,24,1712,43,2021,54,B6,1161,LGA,PBI
4,5,1426,-7,1654,9,DL,1819,LGA,MSP
8,29,1437,27,1649,14,FL,350,LGA,ATL
5,17,1851,1,2233,8,VX,29,JFK,SFO
2,2,1128,18,1228,7,B6,24,JFK,BTV
5,27,1622,32,1741,19,B6,44,JFK,BTV
12,20,1253,-6,1546,-28,AA,1256,LGA,MIA
8,24,1258,-1,1657,0,UA,1708,EWR,SJU
