번호,구분,종합점수
1,1,80
2,1,70
3,1,80
4,1,70
5,1,56.6
6,1,66.6
7,1,54.2
8,1,87.5
9,1,85.8
10,1,5
11,1,58.3
12,1,77.5
13,1,54.2
14,1,65.8
15,1,66.6
16,1,67.5
17,1,95.8
18,1,79.1
19,1,58.3
20,1,71.7
21,1,82.5
22,1,89.1
23,1,70.8
24,1,61.6
25,1,69.1
26,1,51.7
27,1,63.3
28,1,70
29,1,71.7
30,1,70
31,1,71.6
32,1,95.8
33,1,66.6
34,1,86.7
35,1,78.3
36,1,82.5
37,1,67.5
38,1,70
39,1,57.5
40,1,92.5
41,1,53.3
42,1,0
43,1,81.6
44,1,73.3
45,1,73.3
46,1,74.1
47,1,56.6
48,1,66.6
49,1,68.3
50,1,61.6
51,2,91.7
52,2,64.1
53,2,64.1
54,2,79.1
55,2,77.5
56,2,81.6
57,2,72.5
58,2,67.5
59,2,96.7
60,2,98.3
61,2,86.6
62,2,85
63,2,79.2
64,2,80.8
65,2,70
66,2,92.5
67,2,88.3
68,2,59.1
69,2,82.5
70,2,39.1
71,2,56.7
72,2,69.1
73,2,93.3
74,2,81.6
75,2,83.3
76,2,79.1
77,2,74.1
78,2,71.6
79,2,70.8
80,2,84.1
81,2,87.5
82,2,85
83,2,90.8
84,2,90.8
85,2,70.8
86,2,78.3
87,2,93.3
88,2,93.3
89,2,98.3
90,2,95
91,2,87.5
92,2,70
93,2,70
94,2,56.6
95,2,56.6
96,2,85.8
97,2,74.1
98,2,80.8
99,2,65.8
100,2,75.8
